City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
202,huarmey,-10.0681,-78.1522,19.8,86,86,2.56,PE,2023-08-23
203,vila franca do campo,37.7167,-25.4333,19.07,80,100,1.68,PT,2023-08-23
204,yar-sale,66.8333,70.8333,13.73,58,92,4.02,RU,2023-08-23
205,jalu,29.0331,21.5482,29.73,30,0,3.2,LY,2023-08-23
206,umm kaddadah,13.6017,26.6876,27.12,63,88,5.07,SD,2023-08-23
207,college,64.8569,-147.8028,14.48,90,75,2.57,US,2023-08-23
208,mishan,45.55,131.8833,22.2,87,100,4.98,CN,2023-08-23
209,the pas,53.8251,-101.2541,15.01,88,100,2.06,CA,2023-08-23
210,kizukuri,40.8061,140.3861,34.73,70,1,2.56,JP,2023-08-23
211,leh,34.1667,77.5833,21.33,38,21,3.15,IN,2023-08-23
212,siparia,10.1333,-61.5,28.23,80,100,5.86,TT,2023-08-23
213,hailar,49.2,119.7,12.65,92,100,6.5,CN,2023-08-23
214,tual,-5.6667,132.75,25.5,85,54,8.35,ID,2023-08-23
215,sirnak,37.5228,42.4594,26.04,15,0,1.81,TR,2023-08-23
216,luanda,-8.8368,13.2343,22.0,83,75,2.57,AO,2023-08-23
217,lavrentiya,65.5833,-171.0,5.31,74,100,5.51,RU,2023-08-23
218,luena,-11.7833,19.9167,14.53,33,0,1.24,AO,2023-08-23
219,mosquera,4.7059,-74.2302,15.05,67,75,4.63,CO,2023-08-23
220,bogo,11.0517,124.0055,29.08,73,100,1.92,PH,2023-08-23
221,san agustin acasaguastlan,14.95,-89.9667,23.16,91,100,1.23,GT,2023-08-23
222,andros town,24.7,-77.7667,27.98,71,5,6.54,BS,2023-08-23
223,slave lake,55.2834,-114.769,13.85,92,100,0.1,CA,2023-08-23
224,guerrero negro,27.9769,-114.0611,20.5,85,3,7.45,MX,2023-08-23
225,tuktoyaktuk,69.4541,-133.0374,9.46,83,99,5.3,CA,2023-08-23
226,bengkulu,-3.8004,102.2655,29.05,67,11,4.74,ID,2023-08-23
227,el alto,-4.2714,-81.2147,19.75,86,34,5.41,PE,2023-08-23
228,narsaq,60.9167,-46.05,11.12,92,100,2.72,GL,2023-08-23
229,nome,64.5011,-165.4064,11.76,93,100,2.57,US,2023-08-23
230,tabou,4.423,-7.3528,24.34,89,100,3.57,CI,2023-08-23
231,karasburg,-28.0167,18.75,5.98,77,2,2.54,,2023-08-23
232,general roca,-39.0333,-67.5833,9.09,48,6,7.83,AR,2023-08-23
233,ekhabi,53.5102,142.9671,16.62,92,100,2.48,RU,2023-08-23
234,hambantota,6.1241,81.1185,32.19,66,20,4.12,LK,2023-08-23
235,ilulissat,69.2167,-51.1,14.01,47,18,8.75,GL,2023-08-23
236,atbasar,51.8,68.3333,29.17,29,33,7.37,KZ,2023-08-23
237,talnakh,69.4865,88.3972,15.67,74,100,5.13,RU,2023-08-23
238,ambon,-3.6954,128.1814,27.08,78,40,2.57,ID,2023-08-23
239,nova friburgo,-22.2819,-42.5311,15.95,72,4,0.73,BR,2023-08-23
240,tiksi,71.6872,128.8694,5.38,86,99,2.49,RU,2023-08-23
241,conde,-7.2597,-34.9075,22.7,94,0,2.57,BR,2023-08-23
242,mbini,1.574,9.6134,24.57,89,99,4.17,GQ,2023-08-23
243,sao filipe,14.8961,-24.4956,27.06,80,87,1.48,CV,2023-08-23
244,lianzhou,24.7811,112.3825,34.1,59,49,0.64,CN,2023-08-23
245,malanje,-9.5402,16.341,16.99,87,4,1.44,AO,2023-08-23
246,provideniya,64.3833,-173.3,6.06,81,100,8.0,RU,2023-08-23
247,tabat,-2.635,115.2274,33.7,44,49,0.75,ID,2023-08-23
248,kirillov,59.863,38.3813,10.76,62,61,2.09,RU,2023-08-23
249,poso,-1.3959,120.7524,33.52,44,44,3.15,ID,2023-08-23
250,turkistan,43.0,68.0,34.09,18,0,1.61,KZ,2023-08-23
251,auki,-8.7676,160.7034,28.33,71,66,3.24,SB,2023-08-23
252,estevan,49.1334,-102.9842,17.11,94,100,4.12,CA,2023-08-23
253,bilma,18.6853,12.9164,31.88,13,12,1.29,NE,2023-08-23
254,seoul,37.5683,126.9778,26.66,98,100,2.64,KR,2023-08-23
255,vodnyy,63.5046,53.4095,8.21,97,100,4.26,RU,2023-08-23
256,guayaramerin,-10.8368,-65.3614,25.56,39,9,1.15,BO,2023-08-23
257,samarai,-10.6167,150.6667,25.71,87,24,5.98,PG,2023-08-23
258,were ilu,10.6,39.4333,12.43,82,37,0.51,ET,2023-08-23
259,wajir,1.7471,40.0573,23.75,68,34,6.85,KE,2023-08-23
260,bathsheba,13.2167,-59.5167,27.34,89,20,2.06,BB,2023-08-23
261,progreso,21.2833,-89.6667,25.62,83,97,4.25,MX,2023-08-23
262,upata,8.0086,-62.3989,26.22,79,93,1.86,VE,2023-08-23
263,meulaboh,4.1363,96.1285,29.19,69,100,1.73,ID,2023-08-23
264,ofaqim,31.3141,34.6203,24.77,76,0,1.82,IL,2023-08-23
265,ampanihy,-24.7,44.75,22.58,51,0,3.21,MG,2023-08-23
266,yeniseysk,58.4497,92.1703,23.39,53,81,3.01,RU,2023-08-23
267,nadym,65.5333,72.5167,13.42,66,98,1.95,RU,2023-08-23
268,kuliyapitiya,7.4688,80.0401,28.82,56,33,4.05,LK,2023-08-23
269,atuona,-9.8,-139.0333,25.94,77,19,6.02,PF,2023-08-23
270,druskininkai,54.0167,23.9667,15.02,73,1,2.51,LT,2023-08-23
271,soanierana ivongo,-16.9167,49.5833,21.76,86,59,1.55,MG,2023-08-23
272,anamur,36.0751,32.8369,30.45,48,0,1.12,TR,2023-08-23
273,zyryanka,65.75,150.85,13.87,38,85,1.49,RU,2023-08-23
274,scarborough,54.2797,-0.4044,14.88,88,33,1.79,GB,2023-08-23
275,norman wells,65.282,-126.8329,14.43,65,72,1.84,CA,2023-08-23
276,the valley,18.217,-63.0578,28.79,79,97,6.44,AI,2023-08-23
277,fortuna,40.5982,-124.1573,13.53,94,0,1.54,US,2023-08-23
278,esperance,-33.8667,121.9,16.18,62,48,4.42,AU,2023-08-23
279,casablanca,33.5928,-7.6192,23.12,69,39,0.24,MA,2023-08-23
280,hasaki,35.7333,140.8333,34.05,79,7,6.5,JP,2023-08-23
281,yiyang,28.5892,112.3283,33.77,52,19,1.75,CN,2023-08-23
282,kousseri,12.0769,15.0306,26.02,68,16,3.08,CM,2023-08-23
283,dunda,-8.1167,34.25,18.82,69,0,2.41,TZ,2023-08-23
284,esmeralda,21.8525,-78.1169,25.39,87,64,3.08,CU,2023-08-23
285,magdagachi,53.45,125.8,18.75,53,99,5.44,RU,2023-08-23
286,srivardhan,18.0333,73.0167,28.26,72,95,2.0,IN,2023-08-23
287,changli,39.7042,119.1506,28.76,55,0,1.95,CN,2023-08-23
288,carutapera,-1.195,-46.02,26.59,71,55,4.98,BR,2023-08-23
289,burnie,-41.0667,145.9167,15.81,69,38,5.6,AU,2023-08-23
290,salinopolis,-0.6136,-47.3561,26.16,76,25,5.71,BR,2023-08-23
291,baoding,38.8511,115.4903,27.77,64,72,2.15,CN,2023-08-23
292,livadiya,42.8692,132.6764,24.31,91,86,1.58,RU,2023-08-23
293,gwadar,25.1216,62.3254,28.09,79,79,4.76,PK,2023-08-23
294,naron,43.5167,-8.1528,22.23,66,63,1.28,ES,2023-08-23
295,davidson,36.1501,-86.7833,28.35,86,20,3.09,US,2023-08-23
296,nara,34.6851,135.8049,33.05,38,37,5.81,JP,2023-08-23
297,sabha,27.0377,14.4283,27.33,40,6,4.45,LY,2023-08-23
298,talara,-4.5772,-81.2719,20.82,87,98,4.97,PE,2023-08-23
299,jerez,14.1,-89.75,19.63,97,98,1.07,GT,2023-08-23
300,plettenberg bay,-34.0527,23.3716,11.53,82,100,7.06,ZA,2023-08-23
301,chokurdakh,70.6333,147.9167,9.11,51,91,1.52,RU,2023-08-23
302,agadez,19.75,10.25,29.82,16,67,4.65,NE,2023-08-23
303,coria,39.9879,-6.5377,26.92,31,0,3.18,ES,2023-08-23
304,maningrida,-12.0667,134.2667,29.55,46,33,5.61,AU,2023-08-23
305,turayf,31.6725,38.6637,33.54,18,7,1.35,SA,2023-08-23
306,mahajanga,-15.7167,46.3167,23.33,57,0,6.54,MG,2023-08-23
307,charlestown,-32.95,151.6667,18.23,65,1,2.24,AU,2023-08-23
308,smirnykh,49.75,142.8333,22.98,91,100,0.45,RU,2023-08-23
309,saint albans,51.75,-0.3333,15.78,93,43,3.09,GB,2023-08-23
310,baloda bazar,21.6667,82.1667,30.02,69,99,3.76,IN,2023-08-23
311,paris,48.8534,2.3488,19.52,82,0,3.09,FR,2023-08-23
312,port lincoln,-34.7333,135.8667,15.33,57,85,5.03,AU,2023-08-23
313,khani,41.9563,42.9566,18.76,68,1,0.97,GE,2023-08-23
314,gladstone,-23.85,151.25,25.99,50,0,5.66,AU,2023-08-23
315,comodoro rivadavia,-45.8667,-67.5,6.92,49,0,11.83,AR,2023-08-23
316,alice springs,-23.7,133.8833,23.75,17,0,4.63,AU,2023-08-23
317,guadalajara,20.6667,-103.3333,18.87,82,75,1.54,MX,2023-08-23
318,biryusinsk,55.9634,97.8235,22.72,48,5,2.01,RU,2023-08-23
319,berlevag,70.8578,29.0864,10.0,81,75,2.57,NO,2023-08-23
320,maniitsoq,65.4167,-52.9,7.09,91,100,12.61,GL,2023-08-23
321,am timan,11.0297,20.2827,20.61,95,100,1.28,TD,2023-08-23
322,honiara,-9.4333,159.95,26.63,86,65,3.97,SB,2023-08-23
323,sambava,-14.2667,50.1667,23.5,72,7,4.73,MG,2023-08-23
324,goderich,43.7501,-81.7165,17.73,82,23,0.51,CA,2023-08-23
325,puri,19.8,85.85,31.29,71,100,1.79,IN,2023-08-23
326,le vauclin,14.5452,-60.8388,25.03,94,0,2.06,MQ,2023-08-23
327,dharchula,29.85,80.5333,24.32,98,100,1.75,IN,2023-08-23
328,clyde river,70.4692,-68.5914,5.13,100,100,2.57,CA,2023-08-23
329,easton,40.6884,-75.2207,17.69,83,0,1.54,US,2023-08-23
330,marystown,47.1666,-55.1483,14.92,100,100,2.0,CA,2023-08-23
331,lukovetskiy,64.2956,41.9211,9.35,84,87,2.0,RU,2023-08-23
332,pisco,-13.7,-76.2167,19.03,77,100,4.12,PE,2023-08-23
333,la rioja,42.25,-2.5,16.88,39,8,2.86,ES,2023-08-23
334,harper,4.375,-7.7169,24.51,88,99,4.03,LR,2023-08-23
335,tura,25.5198,90.2201,22.65,98,100,2.91,IN,2023-08-23
336,yerbogachen,61.2767,108.0108,19.17,66,87,0.82,RU,2023-08-23
337,yelizovo,53.1873,158.3805,22.08,68,75,5.0,RU,2023-08-23
338,perpignan,42.75,2.75,26.66,78,0,1.03,FR,2023-08-23
339,termiz,37.2242,67.2783,32.05,25,0,5.14,UZ,2023-08-23
340,liverpool,53.4106,-2.9779,16.01,89,40,2.06,GB,2023-08-23
341,minab,27.1467,57.0801,36.41,42,13,1.64,IR,2023-08-23
342,kutum,14.2,24.6667,23.75,70,96,6.07,SD,2023-08-23
343,olafsvik,64.8945,-23.7142,10.48,78,100,3.11,IS,2023-08-23
344,abu zabad,12.35,29.25,25.4,70,12,2.43,SD,2023-08-23
345,san blas,21.5167,-105.2667,27.18,88,96,1.42,MX,2023-08-23
346,kabo,7.6994,18.629,21.69,98,100,1.03,CF,2023-08-23
347,ancud,-41.8697,-73.8203,5.54,83,81,4.25,CL,2023-08-23
